"Longitude","Latitude"
-81.3851192,36.43498712
-84.00066913,35.45480661
-84.24455877,35.35319313
-85.43662558,34.68873077
-84.67631527,30.36105657
-94.25988594,31.38707424
-77.13559139,35.03228687
-79.97605151,33.20629854
-77.13548423,35.02715928
-80.48012002,33.49252002
-77.13800047,35.03470134
-77.13373116,35.02714361
-77.55762113,34.84327995
-77.13844661,35.03131772
-79.34703076,35.97502829
-79.31984927,35.5373584
-79.18890709,35.62263128
-78.85712038,35.11764157
-79.33191386,35.68083877
-79.39025824,35.72130999
-79.43983034,35.99019112
-79.10449769,35.72909334
-79.56390348,36.05474552
-78.98713573,35.5422142
-78.85724323,35.11549535
-78.86500216,35.0880659
-78.86465083,35.08817942
-78.48719266,34.56981685
-78.66644268,36.00219257
-78.7352374,35.83952217
-79.01797942,35.9835922
-79.15526046,35.6187371
-79.05569426,35.98472452
-78.88543139,36.206678
-76.77207681,36.31737484
-76.77339001,36.31982779
-76.80686395,36.31577582
-87.03971085,33.05864518
-85.72252761,33.51966612
-85.51607105,33.85746043
-85.64273034,32.46460243
-87.03755811,33.05887068
-85.72530237,33.52071531
-85.68565742,33.71031084
-87.03785242,33.05933048
-87.07912117,33.01872884
-79.00559415,35.98112039
-79.03527433,35.99353797
-84.15919048,35.52602023
-77.1820963,34.81811719
-83.59813714,33.12595032
-83.70290095,33.23407635
-83.60288948,33.15809814
-83.28077623,33.7510344
-83.45391024,33.35092925
-83.29125415,33.72249939
-83.6353766,33.18615617
-83.25714657,33.59546985
-83.54202746,33.18352549
-83.71613326,33.02932405
-83.51383722,33.28157048
-83.38677041,33.41987983
-90.633174,34.59949254
-87.39142077,32.9326239
-87.00953084,32.75628762
-87.00396774,32.91353875
-90.67496951,34.67971057
-87.00615776,32.90948488
-86.98909708,32.73908746
-90.63267965,34.59734474
-86.99932797,32.91206271
-93.8836703,31.55635627
-87.46950812,32.87940853
-87.00832874,32.91227649
-87.18415641,34.36578586
-87.37663073,34.33307253
-87.25351117,34.20149758
-87.18266159,34.3556719
-87.18604072,34.36740914
-87.25494195,34.20056234
-87.18437749,34.3657801
-87.39004231,34.34164951
-87.18282607,34.360726
-80.01363073,35.43542487
-77.44790326,36.32574061
-77.53037034,36.30169705
-77.53071453,36.30049451
-77.45058721,36.32639927
-77.44635199,36.32723236
-77.11009528,35.8952811
-77.11221477,35.88783373
-77.52966352,36.30468029
-77.52956006,36.30562572
-77.44613053,36.3251479
-77.13504663,35.02753037
-77.18569317,34.8185315
-77.454182,34.68078254
-77.18148067,34.82083691
-84.63412029,34.96686908
-85.16594051,34.52655653
-81.08930268,35.30055398
-81.09372236,35.30477506
-85.7655405,33.70083722
-85.5997431,33.72669918
-85.59792012,33.72261969
-85.86691143,33.45893545
-87.07469066,33.01870966
-85.87043424,33.45927415
-85.55982054,33.87757853
-85.57240962,33.87905602
-85.58467169,33.71695887
-85.6711984,33.62351282
-85.59219394,33.74344979
-85.83631865,33.44090155
-85.86725875,33.45712528
-82.84514033,34.9651929
-82.84369093,34.96616797
-84.53738234,35.097661
-93.93679911,31.56364951
-93.89704815,31.54530449
-87.50139068,32.9855909
-87.18714893,32.79368409
-87.36900155,34.21366035
-87.29121795,34.12266857
